COD,PRODUS,COMANDA F,TR CI,Cinema,VZ CI,TR CR,Crisan,VZ CR,DEPOZIT,EXP,TR GA,Gara,VZ GA,TR PR,Progresu,VZ PR,TR ST,Steaua,VZ ST,TR ZA,Zahana,VZ ZA,TOTAL,VZ 1,VZ 6
000378,RECAS SCHWABEN WEIN 750ML ROZE DEMIDULCE,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
000379,VIN CASTEL HUNIADE 750ML ROZE DEMISEC,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
000380,VIN CASTEL HUNIADE 750ML RIESLING SEC,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
000381,VIN CASTEL HUNIADE 750ML FETEASCA REGALA DEMISEC,,,0,0,,0,0,0,,,-1,0,,0,0,,0,0,,1,0,0,0,
000382,VIN CASTEL HUNIADE 750ML CHARDONNAY DEMIDULCE,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
000383,VIN CASTEL HUNIADE 750ML MERLOT/PINOT NOIR DD,,,0,0,,0,0,0,,,2,0,,0,0,,0,0,,3,1,5,1,
000384,VIN CASTEL HUNIADE 750NL CABERNET SAUVIGNON ALB/ROSU SEC,,,0,0,,3,0,0,,,0,0,,0,0,,0,0,,0,0,3,0,
000389,BERE CIUCAS 1L,,,0,0,,0,0,0,,,0,0,,-3,0,,0,0,,-1,0,-4,0,
001040,COTNARI 1.5L ETICHETA GALBENA ROSU DS,,,0,0,,0,0,0,,,-3,0,,0,0,,1,0,,0,0,-2,0,
